artist_id,genre
41,edm
41,electro house
41,house
41,pop
27,indie folk
27,stomp and flutter
65,pop rap
65,rap
65,underground pop rap
22,contemporary country
22,country
22,country christmas
22,country road
22,country rock
22,outlaw country
22,traditional country
22,texas country
50,dance pop
50,pop
50,pop christmas
50,pop rap
50,r&b
50,rap
50,soul christmas
44,candy pop
44,dance pop
44,indie r&b
44,metropopolis
44,pop
44,post-teen pop
44,tropical house
124,pop
25,alternative dance
25,big beat
25,disco house
25,electro house
25,electroclash
25,electronic
25,house
25,new rave
25,synthpop
25,trip hop
25,vocal house
75,aussietronica
75,australian dance
75,nu disco
60,alternative rock
60,chamber pop
60,folk christmas
60,folk-pop
60,garage rock
60,indie christmas
60,indie folk
60,indie pop
60,indie rock
60,lo-fi
60,neo mellow
60,pop rock
60,stomp and holler
80,edm
80,electro house
80,house
160,alternative dance
160,chillwave
160,dream pop
160,escape room
160,grave wave
160,indie r&b
160,indietronica
160,metropopolis
160,shimmer pop
160,synthpop
111,indie r&b
29,fingerstyle
29,folk-pop
29,indie folk
29,neo mellow
136,dance pop
136,hip pop
136,indie r&b
136,neo soul
136,pop
136,pop rap
136,r&b
136,urban contemporary
86,pop rap
86,rap
86,southern hip hop
31,detroit hip hop
31,pop rap
31,rap
31,southern hip hop
31,trap music
148,chillwave
148,indie r&b
148,glitch hop
148,indietronica
148,ninja
148,wonky
158,edm
158,electro house
158,electronic
158,glitch hop
158,house
158,nu jazz
158,trip hop
158,turntablism
54,alternative dance
54,brooklyn indie
54,chamber pop
54,chillwave
54,dream pop
54,freak folk
54,indie pop
54,indie r&b
54,indie rock
54,indietronica
54,neo-psychedelic
54,new rave
54,noise pop
54,nu gaze
54,shimmer pop
54,synthpop
63,indie r&b
63,pop
63,tropical house
69,chillwave
69,indie r&b
66,gauze pop
66,indie r&b
12,nu disco
41,edm
41,electro house
41,house
41,pop
81,chamber pop
81,folk-pop
81,freak folk
81,indie folk
81,indie pop
81,indie rock
81,indietronica
81,la indie
81,new americana
81,singer-songwriter
81,stomp and holler
27,indie folk
27,stomp and flutter
139,german pop
139,pop
139,tropical house
65,pop rap
65,rap
65,underground pop rap
22,contemporary country
22,country
22,country christmas
22,country road
22,country rock
22,outlaw country
22,texas country
22,traditional country
50,dance pop
50,pop
50,pop christmas
50,pop rap
50,r&b
50,rap
50,soul christmas
30,dance pop
30,pop
30,pop rap
30,r&b
44,candy pop
44,dance pop
44,indie r&b
44,metropopolis
44,pop
44,post-teen pop
44,tropical house
76,deep indie r&b
25,big beat
60,lo-fi
160,grave wave
136,r&b
102,trap music
148,chillwave
158,nu jazz
120,nu disco
54,alternative dance
54,neo-psychedelic
91,electronic
87,trap music
63,pop
69,indie r&b
107,tropical house
133,alternative dance
133,synthpop
66,gauze pop
18,pop rap
81,freak folk
84,indietronica
56,rap
48,trap music
100,chillwave
92,pop christmas
92,trap music
71,australian alternative rock
147,edm
54,indie pop
91,indietronica
117,indie rock
91,edm
87,trap music
87,east coast hip hop
133,indie pop
133,indie r&b
156,new rave
41,edm
84,chillwave
22,country christmas
302,gangster rap
264,house
138,post-teen pop
50,dance pop
